topology_arm,comparison,left_arm,right_arm,mean_delta,median_delta,sd_delta,p_left_greater_paired,left_win_fraction,bootstrap_ci_low,bootstrap_ci_high,stable_left_win,stable_right_win
no_topology_baseline,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0031895548671317456,-0.0029782896785495363,0.0019251428795576018,0.9591836734693877,0.041666666666666664,-0.003743268881896868,-0.0026284924567367596,False,True
no_topology_baseline,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.0031895548671317456,0.0029782896785495363,0.0019251428795576018,0.061224489795918366,0.9583333333333334,0.002629564741007797,0.003690675005134342,True,False
no_topology_baseline,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.00417030110915009,-0.00439767842513001,0.002091570453787432,0.9795918367346939,0.020833333333333332,-0.004768288006502019,-0.0035847103591891416,False,True
no_topology_baseline,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0060757111738757264,0.006243433790258046,0.0032831633998098185,0.04081632653061224,0.9791666666666666,0.005145425318607912,0.007008471031023642,True,False
no_topology_baseline,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.00417030110915009,-0.00439767842513001,0.002091570453787432,0.9795918367346939,0.020833333333333332,-0.00474739724867677,-0.0035770713966341012,False,True
c12_1_2,full_minus_reverse,full_self_consistent_rstar,reverse_only_c_to_ab,-0.0035944517593319175,-0.0037079642035655353,0.0020935050805358573,0.9183673469387755,0.08333333333333333,-0.004156566088888692,-0.0029688079661344055,False,True
c12_1_2,reverse_minus_full,reverse_only_c_to_ab,full_self_consistent_rstar,0.0035944517593319175,0.0037079642035655353,0.0020935050805358573,0.10204081632653061,0.9166666666666666,0.0029857487902795695,0.004141994306340311,True,False
c12_1_2,magnitude_minus_reverse,c_to_ab_magnitude_only,reverse_only_c_to_ab,-0.005222961733330593,-0.005516884816604065,0.0029068454035789506,0.9387755102040817,0.0625,-0.006042413109945938,-0.0043377602462127025,False,True
c12_1_2,receiver_minus_reverse,c_to_ab_receiver_only,reverse_only_c_to_ab,0.0023166181418105727,0.002503793792144755,0.00396977720123033,0.32653061224489793,0.6875,0.0011386951695073323,0.003439208674538899,True,False
c12_1_2,standpoint_minus_reverse,c_to_ab_standpoint_only,reverse_only_c_to_ab,-0.005222961733330593,-0.005516884816604065,0.0029068454035789506,0.9387755102040817,0.0625,-0.006046577559785194,-0.004426156067752511,False,True
