control_level,frozen_regimes,c_beats_count,control_bounds_c_count,mean_true_minus_control,median_true_minus_control
unsigned_side_gap,11,0,11,-0.031176410859243452,-0.002547831462513645
signed_ac_minus_bc,11,6,5,0.03607589340925038,0.018756104829862022
polarity_sign_only,11,5,6,0.033518491801330826,0.017662847169743895
polarity_magnitude_only,11,0,11,-0.031176410859243452,-0.002547831462513645
direction_conditioned_side_polarity,11,6,5,0.03543555499264472,0.018756104829862022
receiver_side_only,11,0,11,0.005380561194694871,0.011577339194660701
giver_side_only,11,6,5,0.005973896434234385,0.01810402682959531
standpoint_polarity_preserved,11,0,11,0.00811329772108211,0.012395424448780687
standpoint_polarity_inverted,11,4,7,0.008536588201576488,0.017051619734218836
phase_tfc_matched_polarity_control,11,4,7,0.03573304455839241,0.014006358200864568
endpoint_o1o2_reference,11,0,11,-0.23144781388282556,-0.24858932538534545
