angle_degrees,role,scan_center,scan_step_degrees
-72.0,base_preregistered,,
0.0,base_preregistered,,
22.5,base_preregistered,,
36.0,base_preregistered,,
45.0,base_preregistered,,
60.0,base_preregistered,,
72.0,base_preregistered,,
75.0,base_preregistered,,
90.0,base_preregistered,,
144.0,base_preregistered,,
71.0,luke_local_scan,72.0,0.2
71.2,luke_local_scan,72.0,0.2
71.4,luke_local_scan,72.0,0.2
71.6,luke_local_scan,72.0,0.2
71.8,luke_local_scan,72.0,0.2
72.0,luke_local_scan,72.0,0.2
72.2,luke_local_scan,72.0,0.2
72.4,luke_local_scan,72.0,0.2
72.6,luke_local_scan,72.0,0.2
72.8,luke_local_scan,72.0,0.2
73.0,luke_local_scan,72.0,0.2
74.0,luke_local_scan,75.0,0.2
74.2,luke_local_scan,75.0,0.2
74.4,luke_local_scan,75.0,0.2
74.6,luke_local_scan,75.0,0.2
74.8,luke_local_scan,75.0,0.2
75.0,luke_local_scan,75.0,0.2
75.2,luke_local_scan,75.0,0.2
75.4,luke_local_scan,75.0,0.2
75.6,luke_local_scan,75.0,0.2
75.8,luke_local_scan,75.0,0.2
76.0,luke_local_scan,75.0,0.2
