mode,endpoint,direction,comparison,control_kind,mean_true,mean_control,effect,p_greater,n_pairs,passes
combined_c_fes_gmr72,z_reward,A_to_B_no_C,true_vs_random,random,-0.7290410663847228,-0.7387215358276098,0.009680469442886953,0.2421515696860628,502,False
combined_c_fes_gmr72,z_reward,A_to_B_no_C,true_vs_balanced,balanced,-0.7290410663847228,-0.7274142830853981,-0.0016267832993247385,0.982003599280144,502,False
combined_c_fes_gmr72,z_reward,A_to_B_no_C,true_vs_performance_matched,performance_matched,-0.7290410663847228,-0.740691389768558,0.011650323383835148,0.03119376124775045,502,True
combined_c_fes_gmr72,z_reward,A_to_B_no_C,true_vs_shuffled_c,shuffled_c,-0.7290410663847228,-0.7290410663847228,0.0,1.0,502,False
combined_c_fes_gmr72,z_reward,A_to_B_no_C,true_vs_phase_rotated,phase_rotated,-0.7290410663847228,-0.726750005367899,-0.0022910610168237256,0.9236152769446111,502,False
combined_c_fes_gmr72,z_reward,B_to_A_no_C,true_vs_random,random,-0.7290410663847228,-0.743110831520234,0.01406976513551124,0.14877024595080984,502,False
combined_c_fes_gmr72,z_reward,B_to_A_no_C,true_vs_balanced,balanced,-0.7290410663847228,-0.7274142830853981,-0.0016267832993247385,0.9828034393121375,502,False
combined_c_fes_gmr72,z_reward,B_to_A_no_C,true_vs_performance_matched,performance_matched,-0.7290410663847228,-0.740691389768558,0.011650323383835148,0.03719256148770246,502,True
combined_c_fes_gmr72,z_reward,B_to_A_no_C,true_vs_shuffled_c,shuffled_c,-0.7290410663847228,-0.7290410663847228,0.0,1.0,502,False
combined_c_fes_gmr72,z_reward,B_to_A_no_C,true_vs_phase_rotated,phase_rotated,-0.7290410663847228,-0.726750005367899,-0.0022910610168237256,0.9336132773445311,502,False
combined_c_fes_gmr72,rank_reward,A_to_B_no_C,true_vs_random,random,-0.7243245405813526,-0.7336245864421863,0.009300045860833665,0.260747850429914,502,False
combined_c_fes_gmr72,rank_reward,A_to_B_no_C,true_vs_balanced,balanced,-0.7243245405813526,-0.7227024024110834,-0.0016221381702692368,0.9802039592081584,502,False
combined_c_fes_gmr72,rank_reward,A_to_B_no_C,true_vs_performance_matched,performance_matched,-0.7243245405813526,-0.7374864061636744,0.013161865582321722,0.03479304139172166,502,True
combined_c_fes_gmr72,rank_reward,A_to_B_no_C,true_vs_shuffled_c,shuffled_c,-0.7243245405813526,-0.7243245405813526,0.0,1.0,502,False
combined_c_fes_gmr72,rank_reward,A_to_B_no_C,true_vs_phase_rotated,phase_rotated,-0.7243245405813526,-0.7220003192372372,-0.002324221344115477,0.9438112377524495,502,False
combined_c_fes_gmr72,rank_reward,B_to_A_no_C,true_vs_random,random,-0.7243245405813526,-0.7364763778765054,0.012151837295152883,0.1833633273345331,502,False
combined_c_fes_gmr72,rank_reward,B_to_A_no_C,true_vs_balanced,balanced,-0.7243245405813526,-0.7227024024110834,-0.0016221381702692368,0.9774045190961808,502,False
combined_c_fes_gmr72,rank_reward,B_to_A_no_C,true_vs_performance_matched,performance_matched,-0.7243245405813526,-0.7374864061636744,0.013161865582321722,0.038592281543691265,502,True
