mode,endpoint,direction,arm_type,pass_count,core_pass_count,survives,fails,mean_effect,mean_core_effect,mean_true_access_effect
combined_c_fes_gmr72,z_reward,A_to_C_to_B,with_c_intersection,4,3,True,False,0.03407220078998384,0.027571517265327816,-0.6927858882126665
combined_c_fes_gmr72,z_reward,B_to_C_to_A,with_c_intersection,3,2,False,False,0.024913842657591657,0.026381001890522487,-0.7004897945439573
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,with_c_intersection,5,3,True,False,0.04547100824986631,0.04274388529251002,-0.6821306903104767
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,with_c_intersection,4,3,True,False,0.03774646762470833,0.04013912709523574,-0.6894363253276026
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,with_c_intersection,1,1,False,True,0.006586051209596769,0.006702648715476396,-0.27321696314695076
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,with_c_intersection,0,0,False,True,0.0004483495748428337,0.002523582781399339,-0.27835514177697535
gmr72_phase_conditioned,z_reward,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0509744458540598,0.03663690430623879,-0.6755231193671457
gmr72_phase_conditioned,z_reward,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0573503200214344,0.044432703695098684,-0.6702306265480349
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,with_c_intersection,5,3,True,False,0.06218150956089621,0.050603465903830504,-0.6647165268672198
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,with_c_intersection,5,3,True,False,0.06499035767755325,0.053579954262603514,-0.6622754368866695
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,with_c_intersection,5,3,True,False,0.008240703701693542,0.0065138087823600746,-0.2706893417146714
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,with_c_intersection,5,3,True,False,0.007063480485965917,0.004928310012740001,-0.272272695262552
fes_string_conditioned,z_reward,A_to_C_to_B,with_c_intersection,1,0,False,True,0.006459157367199114,-0.0019945573013720208,-0.7160957188629731
fes_string_conditioned,z_reward,B_to_C_to_A,with_c_intersection,2,0,False,True,0.01590173928536521,0.0011131367027420042,-0.717073226283539
fes_string_conditioned,rank_reward,A_to_C_to_B,with_c_intersection,1,0,False,True,0.011925034674714882,0.006444056070190072,-0.7072866127129764
fes_string_conditioned,rank_reward,B_to_C_to_A,with_c_intersection,2,0,False,True,0.020054320890887913,0.00930660216619073,-0.709300211120681
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,with_c_intersection,2,2,False,False,0.0027858095800802757,0.0021424989485898625,-0.2745255543030141
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,with_c_intersection,2,1,False,True,0.004585315951213234,0.0021289644655387383,-0.275393758967806
linear_c_state,z_reward,A_to_C_to_B,with_c_intersection,5,3,True,False,0.05201315725762075,0.038585722896762535,-0.6758495687440289
linear_c_state,z_reward,B_to_C_to_A,with_c_intersection,5,3,True,False,0.06089694201119731,0.048047379926954605,-0.6667860859214115
linear_c_state,rank_reward,A_to_C_to_B,with_c_intersection,5,3,True,False,0.06343311848619923,0.052551579217571774,-0.6645096745245741
linear_c_state,rank_reward,B_to_C_to_A,with_c_intersection,5,3,True,False,0.06808909520533474,0.05684747450858809,-0.6594298734361925
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,with_c_intersection,5,3,True,False,0.009059501126938152,0.0073625250212171174,-0.26991542250984546
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,with_c_intersection,5,3,True,False,0.008513461477880882,0.006244915836255072,-0.27062265151803716
