event_class,event_role,source_file,label,task_idx,phase,strength,event_rule
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,4.3168924381409095,0.10292831791092122,0.07654724056199218,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,43.80442210419146,-0.8537080145582658,0.10155466687021365,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,60.24716697408747,-1.5731855632572667,0.37426006246165083,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,61.567968749027564,0.03991502976111753,0.25527279279414544,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,66.1243657544099,-1.5543037255970007,0.14322507392780662,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,96.39842786589811,-2.7067548524522707,0.11829346227658301,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,104.91890042216097,2.535757054930091,0.3298904676917718,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,129.01885395475827,1.8486588252150553,0.4392435357881634,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,140.62671937722135,-2.56620282223314,0.31966244987349796,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,162.5274583994513,-1.8227916837790692,0.22997202047369122,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,170.1461069487254,-2.72705687338957,0.37430537780384254,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,195.825784235808,-0.17723594194199585,0.20291731442191577,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,198.01107995576913,-2.7490610660629664,0.36933769073124617,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,210.1321243993414,-2.078169795738635,0.04554983371081231,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,254.66050105149,-2.037699839469347,0.30765295753944855,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,267.3334562024901,-1.1849684516873087,0.24077452506612435,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,269.0379564456667,-3.06753822352285,0.25683486761478364,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,270.87422886166746,2.4452159608724777,0.34684933513296473,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,278.274312584562,1.3605439262198318,0.2699952784193979,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,281.87166805603533,-2.672231059217355,0.10801953968385064,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,292.9984073745237,-2.38539450354609,0.13176820037678982,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,315.65204716610333,-0.4775206467299153,0.17153191773800613,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,328.53654397478977,-0.0677829137245052,0.0020601708529162524,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,337.6816812145261,1.9623452242071082,0.1988808762758154,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,370.5580123054873,2.736240257507421,0.12771396179402783,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,392.6061030455728,-0.9002709024057586,0.21917234956403372,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P1,392.7236296263655,0.5848848627940524,0.04861910094549549,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,71.39235795116097,-0.6510589835527285,0.40738578177541795,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,90.6514199724927,2.4576998801456926,0.31772369939439493,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,98.57890190392396,0.8967201272827616,0.08873356704394987,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,100.88632674849053,-1.6708926124351067,0.09873192314027454,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,112.86706036680937,2.3769401086274073,0.003201682872662901,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,146.5666545256939,-2.762251831006473,0.2932032126018496,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,185.3554088197017,1.3418051950126662,0.26582000127975314,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,195.57202025739932,-0.03276221602374701,0.04563780722460048,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,228.18485623496912,0.3891841992184414,0.3775543282805092,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,234.58967599226517,2.3966065034643007,0.29602831915835254,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,269.4592753682855,-1.707175225149191,0.373455138887314,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,280.1573908814737,1.6757913547523593,0.19355874580178523,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,284.35075073182435,3.068227485332344,0.025138508767900507,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,300.5487735844262,1.1506195450424554,0.18495344592485535,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,310.7475776076838,-2.467536132452211,0.02440966230702395,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,320.40794928466187,-2.9397167299678575,0.24522847329494943,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,336.36073859190935,-2.4675966924064636,0.36986387389530506,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P10,381.99700247203486,-0.886345663340834,0.14158005169610485,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,16.37226716596211,-2.749817256950992,0.2290610492406119,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,52.3040570489759,2.987500723926715,0.17170741481930119,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,67.668450175989,-1.1954173262504448,0.2710139762838071,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,96.57225759907546,2.6591360341239954,0.10964480027753876,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,123.77638931550837,-1.4015304698337319,0.16244748129475528,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,133.26950791661417,-2.733898711026253,0.3145200982206445,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,162.70175988480318,2.5242204466123748,0.17196214899878415,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,183.64827068020415,-0.5336709028250741,0.2819882204395063,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,200.9808331363495,-2.5701202105725875,0.3057161858439004,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,227.38476363790843,2.4286433956291846,0.3675276768757918,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,230.99411815292473,0.41298010815255853,0.5177148592963123,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,260.3162928793451,-0.9147603399916503,0.06801624887284063,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,264.8466190298448,2.4022208243760077,0.18443537114681463,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,281.735606741519,-2.8210405143012354,0.20636502260352407,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,305.54397350109065,-0.9696812669746664,0.033083707848637026,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
b54t_block_structure_only,block_control,b5_4t_timing_geometry_decomposition,P11,315.1598870838344,-1.5318963641260248,0.253266520141336,"label/block counts preserved; timing, phase, and strength randomized inside blocks"
